Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
Gondwana Rainforests of Australia,Australia,Asia and the Pacific,Natural,False,,1986,"-28.25, 150.05"
Budj Bim Cultural Landscape,Australia,Asia and the Pacific,Cultural,False,,2019,"-38.0811111111, 141.8852777778"
Heard and McDonald Islands,Australia,Asia and the Pacific,Natural,False,,1997,"-53.1, 73.5"
Murujuga Cultural Landscape,Australia,Asia and the Pacific,Cultural,False,,2025,"-20.5650277778, 116.6685277778"
Purnululu National Park,Australia,Asia and the Pacific,Natural,False,,2003,"-17.5, 128.5"
Macquarie Island,Australia,Asia and the Pacific,Natural,False,,1997,"-54.59472222, 158.8955556"
Willandra Lakes Region,Australia,Asia and the Pacific,Mixed,False,,1981,"-34.0, 143.0"
Frontiers of the Roman Empire – The Danube Limes (Western Segment),"Austria,Slovakia,Germany",Europe and North America,Cultural,False,,2021,"48.1151944444, 16.8613888889"
Palace and Gardens of Schönbrunn,Austria,Europe and North America,Cultural,False,,1996,"48.18666667, 16.31333333"
Historic Centre of Vienna,Austria,Europe and North America,Cultural,True,Y 2017,2001,"48.2094, 16.3699"
Gobustan Rock Art Cultural Landscape,Azerbaijan,Europe and North America,Cultural,False,,2007,"40.125, 49.375"
Hyrcanian Forests,"Azerbaijan,Iran (Islamic Republic of)",Europe and North America,Natural,False,,2019,"37.4214722222, 55.7242777778"
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Belarus,Europe and North America,Cultural,False,,2005,"53.22278, 26.69139"
Mir Castle Complex,Belarus,Europe and North America,Cultural,False,,2000,"53.45108333, 26.47272222"
Funerary and memory sites of the First World War (Western Front),"France,Belgium",Europe and North America,Cultural,False,,2023,
"La Grand-Place, Brussels",Belgium,Europe and North America,Cultural,False,,1998,"50.84668, 4.35242"
Major Mining Sites of Wallonia,Belgium,Europe and North America,Cultural,False,,2012,"50.4352777778, 3.8383333333"
Notre-Dame Cathedral in Tournai,Belgium,Europe and North America,Cultural,False,,2000,"50.60603, 3.38926"
Plantin-Moretus House-Workshops-Museum Complex,Belgium,Europe and North America,Cultural,False,,2005,"51.21833, 4.39778"
Major Town Houses of the Architect Victor Horta (Brussels),Belgium,Europe and North America,Cultural,False,,2000,"50.82806, 4.36223"
Royal Palaces of Abomey,Benin,Africa,Cultural,False,,1985,"7.183333333, 1.983333333"
Noel Kempff Mercado National Park,Bolivia (Plurinational State of),Latin America and the Caribbean,Natural,False,,2000,"-14.26667, -60.86667"
Old Bridge Area of the Old City of Mostar,Bosnia and Herzegovina,Europe and North America,Cultural,False,,2005,"43.3373055556, 17.815"
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,False,,2000,"-16.555003, -68.673278"
Okavango Delta,Botswana,Africa,Natural,False,,2014,"-19.2833333333, 22.9"
Atlantic Forest South-East Reserves,Brazil,Latin America and the Caribbean,Natural,False,,1999,"-24.16667, -48.0"
Central Amazon Conservation Complex,Brazil,Latin America and the Caribbean,Natural,False,,2000,"-2.333333333, -62.00833333"
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,Latin America and the Caribbean,Natural,False,,2001,"-14.00569444, -47.68461111"
Serra da Capivara National Park,Brazil,Latin America and the Caribbean,Cultural,False,,1991,"-8.718634, -42.652436"
Sanctuary of Bom Jesus do Congonhas,Brazil,Latin America and the Caribbean,Cultural,False,,1985,"-20.508201, -43.860806"
Ancient City of Nessebar,Bulgaria,Europe and North America,Cultural,False,,1983,"42.6591111111, 27.7360277778"
Thracian Tomb of Kazanlak,Bulgaria,Europe and North America,Cultural,False,,1979,"42.625774, 25.399172"
Srebarna Nature Reserve,Bulgaria,Europe and North America,Natural,False,,1983,"44.11444, 27.07806"
Rock-Hewn Churches of Ivanovo,Bulgaria,Europe and North America,Cultural,False,,1979,"43.694858, 25.987893"
Temple of Preah Vihear,Cambodia,Asia and the Pacific,Cultural,False,,2008,"14.390841, 104.680325"
Dja Faunal Reserve,Cameroon,Africa,Natural,False,,1987,"3.125, 12.983"
Anticosti,Canada,Europe and North America,Natural,False,,2023,"49.5386111111, -63.2452777778"
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,"Canada,United States of America",Europe and North America,Natural,False,,1979,"61.19758333, -140.9919722"
Miguasha National Park,Canada,Europe and North America,Natural,False,,1999,"48.105, -66.35305556"
Old Town Lunenburg,Canada,Europe and North America,Cultural,False,,1995,"44.37611111, -64.30916667"
S<U>G</U>ang Gwaay,Canada,Europe and North America,Cultural,False,,1981,"52.095, -131.2202778"
Wood Buffalo National Park,Canada,Europe and North America,Natural,False,,1983,"59.35833333, -112.2933333"
Lakes of Ounianga,Chad,Africa,Natural,False,,2012,"19.055, 20.5055555556"
Historic Quarter of the Seaport City of Valparaíso,Chile,Latin America and the Caribbean,Cultural,False,,2003,"-33.04063889, -71.628"
Ancient Building Complex in the Wudang Mountains,China,Asia and the Pacific,Cultural,False,,1994,"32.46667, 111.0"
